"Season","SeasonType","Week","Poll","Rank","School","Conference","FirstPlaceVotes","Points"
"2014","regular","16","AFCA Division II Coaches Poll","11","Delta State","Gulf South","0","444"
"2014","regular","16","Playoff Committee Rankings","12","Georgia Tech","ACC","0","0"
"2014","regular","16","AP Top 25","12","Arizona","Pac-12","0","819"
"2014","regular","16","Coaches Poll","12","Ole Miss","SEC","0","882"
"2014","regular","16","FCS Coaches Poll","12","Fordham","Patriot","0","359"
"2014","regular","16","AFCA Division II Coaches Poll","12","North Alabama","Gulf South","0","410"
"2014","regular","16","Playoff Committee Rankings","13","Georgia","SEC","0","0"
"2014","regular","16","AP Top 25","13","Georgia","SEC","0","745"
"2014","regular","16","Coaches Poll","13","Georgia","SEC","0","759"
"2014","regular","16","FCS Coaches Poll","13","South Dakota State","MVFC","0","317"
"2014","regular","16","AFCA Division II Coaches Poll","13","Harding University","Great American","0","378"
"2014","regular","16","Playoff Committee Rankings","14","UCLA","Pac-12","0","0"
"2014","regular","16","AP Top 25","14","UCLA","Pac-12","0","663"
"2014","regular","16","Coaches Poll","14","Missouri","SEC","0","676"
"2014","regular","16","FCS Coaches Poll","14","Harvard","Ivy","0","309"
"2014","regular","16","AFCA Division II Coaches Poll","14","Bloomsburg","Pennsylvania State Athletic","0","364"
"2014","regular","16","Playoff Committee Rankings","15","Arizona State","Pac-12","0","0"
"2014","regular","16","AP Top 25","15","Arizona State","Pac-12","0","602"
"2014","regular","16","Coaches Poll","15","UCLA","Pac-12","0","661"
"2014","regular","16","FCS Coaches Poll","15","James Madison","CAA","0","248"
"2014","regular","16","AFCA Division II Coaches Poll","15","West Chester","Pennsylvania State Athletic","0","356"
"2014","regular","16","Playoff Committee Rankings","16","Missouri","SEC","0","0"
"2014","regular","16","AP Top 25","16","Missouri","SEC","0","599"
"2014","regular","16","Coaches Poll","16","Arizona State","Pac-12","0","599"
"2014","regular","16","FCS Coaches Poll","16","Richmond","CAA","0","244"
"2014","regular","16","AFCA Division II Coaches Poll","16","Sioux Falls","Northern Sun","0","332"
"2014","regular","16","Playoff Committee Rankings","17","Clemson","ACC","0","0"
"2014","regular","16","AP Top 25","17","Wisconsin","Big Ten","0","542"
"2014","regular","16","Coaches Poll","17","Wisconsin","Big Ten","0","566"
"2014","regular","16","FCS Coaches Poll","17","Montana State","Big Sky","0","238"
"2014","regular","16","AFCA Division II Coaches Poll","17","Colorado School Of Mines","Rocky Mountain","0","283"
"2014","regular","16","Playoff Committee Rankings","18","Wisconsin","Big Ten","0","0"
"2014","regular","16","AP Top 25","18","Clemson","ACC","0","509"
"2014","regular","16","Coaches Poll","18","Clemson","ACC","0","518"
"2014","regular","16","FCS Coaches Poll","18","Eastern Kentucky","OVC","0","217"
"2014","regular","16","AFCA Division II Coaches Poll","18","Michigan Tech","GLIAC","0","275"
"2014","regular","16","Playoff Committee Rankings","19","Auburn","SEC","0","0"
"2014","regular","16","AP Top 25","19","Auburn","SEC","0","450"
"2014","regular","16","Coaches Poll","19","Auburn","SEC","0","395"
"2014","regular","16","FCS Coaches Poll","19","Sam Houston","Southland","0","126"
"2014","regular","16","AFCA Division II Coaches Poll","19","Azusa Pacific","Great Northwest","0","212"
"2014","regular","16","Playoff Committee Rankings","20","Boise State","Mountain West","0","0"
"2014","regular","16","AP Top 25","20","Louisville","ACC","0","406"
"2014","regular","16","Coaches Poll","20","Louisville","ACC","0","381"
"2014","regular","16","FCS Coaches Poll","20","Bethune-Cookman","MEAC","0","122"
"2014","regular","16","AFCA Division II Coaches Poll","20","Winston-Salem","CIAA","0","135"
"2014","regular","16","Playoff Committee Rankings","21","Louisville","ACC","0","0"
"2014","regular","16","AP Top 25","21","Boise State","Mountain West","0","368"
"2014","regular","16","Coaches Poll","21","Boise State","Mountain West","0","325"
"2014","regular","16","FCS Coaches Poll","21","Indiana State","MVFC","0","108"
"2014","regular","16","AFCA Division II Coaches Poll","21","Valdosta State","Gulf South","0","132"
"2014","regular","16","Playoff Committee Rankings","22","Utah","Pac-12","0","0"
"2014","regular","16","AP Top 25","22","LSU","SEC","0","221"
"2014","regular","16","Coaches Poll","22","Nebraska","Big Ten","0","200"
"2014","regular","16","FCS Coaches Poll","22","Sacred Heart","NEC","0","91"
"2014","regular","16","AFCA Division II Coaches Poll","22","Henderson State","Great American","0","122"
"2014","regular","16","Playoff Committee Rankings","23","LSU","SEC","0","0"
"2014","regular","16","AP Top 25","23","Utah","Pac-12","0","134"
"2014","regular","16","Coaches Poll","23","LSU","SEC","0","173"
"2014","regular","16","FCS Coaches Poll","23","Liberty","Big South","0","82"
"2014","regular","16","AFCA Division II Coaches Poll","23","Virginia St","CIAA","0","72"
"2014","regular","16","AFCA Division II Coaches Poll","23","Angelo State","Lone Star","0","72"
"2014","regular","16","Playoff Committee Rankings","24","USC","Pac-12","0","0"
"2014","regular","16","AP Top 25","24","USC","Pac-12","0","112"
"2014","regular","16","Coaches Poll","24","Oklahoma","Big 12","0","100"
"2014","regular","16","FCS Coaches Poll","24","William & Mary","CAA","0","66"
"2014","regular","16","Playoff Committee Rankings","25","Minnesota","Big Ten","0","0"
"2014","regular","16","AP Top 25","25","Nebraska","Big Ten","0","79"
"2014","regular","16","Coaches Poll","25","Utah","Pac-12","0","72"
"2014","regular","16","FCS Coaches Poll","25","Youngstown State","MVFC","0","56"
"2014","regular","16","AFCA Division II Coaches Poll","25","West Georgia","Gulf South","0","58"
